simulation_id,generate_network_from_file,nodes_filename,channels_filename,edges_filename,n_additional_nodes,n_channels_per_node,capacity_per_channel,faulty_node_probability,generate_payments_from_file,payment_timeout,average_payment_forward_interval,variance_payment_forward_interval,routing_method,group_size,group_limit_rate,group_cap_update,group_broadcast_delay,payments_filename,payment_rate,n_payments,average_payment_amount,variance_payment_amount,average_max_fee_limit,variance_max_fee_limit,mpp,seed,request_amt_rate,simulation_time,success_rate,fail_no_path_rate,fail_timeout_rate,fail_no_alternative_path_rate,retry_rate,retry_no_balance_rate,time/average,time/variance,time/max,time/min,time/5-percentile,time/25-percentile,time/50-percentile,time/75-percentile,time/95-percentile,time_success/average,time_success/variance,time_success/max,time_success/min,time_success/5-percentile,time_success/25-percentile,time_success/50-percentile,time_success/75-percentile,time_success/95-percentile,time_fail/average,time_fail/variance,time_fail/max,time_fail/min,time_fail/5-percentile,time_fail/25-percentile,time_fail/50-percentile,time_fail/75-percentile,time_fail/95-percentile,retry/average,retry/variance,retry/max,retry/min,retry/5-percentile,retry/25-percentile,retry/50-percentile,retry/75-percentile,retry/95-percentile,fee/average,fee/variance,fee/max,fee/min,fee/5-percentile,fee/25-percentile,fee/50-percentile,fee/75-percentile,fee/95-percentile,fee_per_satoshi/average,fee_per_satoshi/variance,fee_per_satoshi/max,fee_per_satoshi/min,fee_per_satoshi/5-percentile,fee_per_satoshi/25-percentile,fee_per_satoshi/50-percentile,fee_per_satoshi/75-percentile,fee_per_satoshi/95-percentile,route_len/average,route_len/variance,route_len/max,route_len/min,route_len/5-percentile,route_len/25-percentile,route_len/50-percentile,route_len/75-percentile,route_len/95-percentile,group_cover_rate,total_locked_balance_duration/average,total_locked_balance_duration/variance,total_locked_balance_duration/max,total_locked_balance_duration/min,total_locked_balance_duration/5-percentile,total_locked_balance_duration/25-percentile,total_locked_balance_duration/50-percentile,total_locked_balance_duration/75-percentile,total_locked_balance_duration/95-percentile,group_survival_time/average,group_survival_time/var,group_survival_time/max,group_survival_time/min,group_survival_time/5-percentile,group_survival_time/25-percentile,group_survival_time/50-percentile,group_survival_time/75-percentile,group_survival_time/95-percentile,group_capacity/average,group_capacity/var,group_capacity/max,group_capacity/min,group_capacity/5-percentile,group_capacity/25-percentile,group_capacity/50-percentile,group_capacity/75-percentile,group_capacity/95-percentile,cul/average,cul/var,cul/max,cul/min,cul/5-percentile,cul/25-percentile,cul/50-percentile,cul/75-percentile,cul/95-percentile
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.65/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.65,true,0,,1,5000,10000,1000,,,0,1,10000,4934876,0.6968,0.3026,0.0,0.0006,0.001597444089456869,0.001597444089456869,449.8936,101804.67987904,1206,0,0.0,0.0,601.0,605.0,804.0,645.368254879449,19975.314732775452,1206,200,401.0,601.0,603.0,802.0,805.0,0.6629287598944591,239.67728007671906,404,0,0.0,0.0,0.0,0.0,0.0,0.0014351320321469576,0.0014330724281972633,1,0,0.0,0.0,0.0,0.0,0.0,3123.260045924225,272733466.71251386,609700,0,9.0,24.0,1021.0,2025.0,11015.449999999997,0.0003120290228902471,2.4720556536683357e-06,0.06404706435022955,0.0,9.908321279445515e-07,2.1825493394405924e-06,0.00010348634053867985,0.000205646178861,0.001092960258993507,3.2129735935706085,0.4925297340903011,6,1,2.0,3.0,3.0,4.0,4.0,0.9982598417440982,4778268896.8193865,3.40956961683256e+19,136730926909,644707500,905158790.4,1125937300.0,3273303000.0,5855429479.0,12869042868.699995,-9.729521140738213e+17,6.166203817683963e+36,4756038,-7310575239085056275,-7.31057523908446e+18,0.0,0.0,382344.5,1682832.0,1085116063.4970112,7.181688625167149e+18,45222400105,2975,2970808.45,22512703.0,107864668.0,691647102.0,6923762612.6999855,0.27988717257597684,0.030024102282151837,0.682506,0.000106,0.004232500000000001,0.13547325,0.28418350000000003,0.41436125,0.5648472499999998
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.85/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.85,true,0,,1,5000,10000,1000,,,0,1,10000,4934877,0.6808,0.3188,0.0,0.0004,0.0007993605115907274,0.0007993605115907274,438.1828,103352.21258416,1205,0,0.0,0.0,601.0,604.0,804.0,643.3337250293772,19804.524937828028,1205,200,401.0,601.0,603.0,802.0,805.0,0.6303258145363408,328.93852896652646,602,0,0.0,0.0,0.0,0.0,0.0,0.0005875440658049354,0.0005871988577756728,1,0,0.0,0.0,0.0,0.0,0.0,5514.841069330199,18686904144.014397,7920400,0,10.0,24.0,1021.0,2027.0,11216.3,0.0006122965486899334,0.0002961661780133173,1.0002614187587535,0.0,9.996847439820807e-07,2.1763946267297674e-06,0.00010352382252940538,0.00020806026864622954,0.0010993258477538681,3.2044653349001173,0.4899213063776492,6,1,2.0,3.0,3.0,4.0,4.0,0.9989821715861706,4746485426.84235,3.28815935103368e+19,142757753681,651154575,907209980.0,1126701900.0,3265172541.0,5776386714.0,12984941421.79999,-9.839512617828307e+17,6.225089645293137e+36,4817179,-7310575239085056275,-7.310575239084469e+18,0.0,0.0,373386.0,1695715.7999999993,894381478.7863691,5.549397778929097e+18,38174015644,2457,2169720.0,19088762.5,93434407.0,578606545.0,4748595269.0,0.36023837057122193,0.04857494586212046,0.808712,9.8e-05,0.0068574000000000005,0.18326775,0.3584645,0.53393625,0.7175056999999999
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.05/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.05,true,0,,1,5000,10000,1000,,,0,1,10000,4934873,0.7298,0.2562,0.0,0.014,0.06015037593984962,0.06015037593984962,490.1866,106035.89218044,2408,0,0.0,0.0,602.0,800.0,806.0,662.0498766785421,30877.926808014385,2408,200,401.0,601.0,603.0,802.0,1002.0,25.99037749814952,13778.302646119526,1203,0,0.0,0.0,0.0,0.0,200.0,0.06796382570567279,0.08746094031926367,4,0,0.0,0.0,0.0,0.0,1.0,5899.127432173198,28269977739.447453,10113539,0,9.400000000000006,24.0,1020.0,2022.0,11006.199999999997,0.0005864101065318939,0.00027630881861854715,1.000201849419344,0.0,9.913330754946498e-07,2.1886250589809583e-06,0.00010347184751246238,0.00020434038003867887,0.0010928642020048521,3.2082762400657714,0.4871773246231882,6,1,2.0,3.0,3.0,4.0,4.0,0.9708113077453459,4923589615.684673,4.062199423833687e+19,168019951917,644707500,908960890.0,1133886483.0,3262929096.0,5888861945.5,13671880118.099998,-1.0741276375784447e+18,6.698740729089379e+36,4681875,-7310575239085056275,-7.310575239084537e+18,0.0,30764.5,488596.5,1734911.8999999973,1703540144.2004602,1.2432375206012834e+19,45284508881,2975,3453664.6,39594561.25,269885189.5,1069054716.25,9512527890.0,0.026960882440476192,0.00031119625809778687,0.078304,7.1e-05,0.001269,0.010846000000000001,0.027465499999999997,0.0402175,0.0560915
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.50/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.50,true,0,,1,5000,10000,1000,,,0,1,10000,4934876,0.7092,0.29,0.0,0.0008,0.002195170624625823,0.002195170624625823,456.8786,99395.23746204,1205,0,0.0,0.0,601.0,605.0,804.0,643.7061477721376,19859.545348555715,1205,200,401.0,601.0,603.0,802.0,805.0,1.2455295735900962,639.7478307718211,606,0,0.0,0.0,0.0,0.0,0.0,0.0019740552735476595,0.0019701583793246377,1,0,0.0,0.0,0.0,0.0,0.0,3166.815002820079,272909283.78190684,609700,0,10.0,24.0,1021.0,2022.0,11024.75,0.0003164550285477995,2.47489251071064e-06,0.06404706435022955,0.0,9.91615120359972e-07,2.188860200489218e-06,0.00010374717235568564,0.00020625924599778673,0.0010984287292667844,3.20360970107163,0.4847698239780833,6,1,2.0,3.0,3.0,4.0,4.0,0.9975375119020258,4781741586.369334,3.466162506296268e+19,136355170620,644707500,904639820.0,1121913151.0,3260141642.0,5832577862.0,12958428952.399984,-9.690214166729623e+17,6.145101468902781e+36,4770427,-7310575239085056275,-7.310575239084464e+18,0.0,0.0,398475.0,1688545.3999999973,1184127260.668511,8.156502882140637e+18,43837602306,2975,3259626.0,26001378.5,135838843.0,845853106.0,8233025950.0,0.22304000778421437,0.01939821181545305,0.560692,0.000123,0.003602600000000001,0.10400200000000001,0.227864,0.33291775,0.44537899999999997
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.00/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.00,true,0,,1,5000,10000,1000,,,0,1,10000,4934876,0.7314,0.1062,0.0,0.1624,0.3916534858255262,0.3916534858255262,700.9614,258216.69951004,7221,0,0.0,403.0,603.0,804.0,1605.0,800.33798195242,206216.67931482277,7221,200,401.0,601.0,604.0,805.0,1606.0,430.3581533879375,299695.4376233957,5219,0,0.0,0.0,401.0,602.0,1403.0,0.5343177467869838,1.5564514965212561,18,0,0.0,0.0,0.0,1.0,3.0,5880.08722996992,28207698127.791954,10113539,0,9.0,24.0,1020.0,2022.0,10944.599999999991,0.0005849561936803924,0.0002757061165847335,1.000201849419344,0.0,9.898697893411618e-07,2.1867667808258323e-06,0.00010311963499196325,0.00020362270831117668,0.0010897323205589335,3.1990702761826633,0.48429774102789735,6,1,2.0,3.0,3.0,4.0,4.0,0.0,5760426254.58702,7.996088133589526e+19,252164627919,668125500,930835970.0,1878330666.5,3378523950.0,6236968410.75,17693519126.84999,,,,,,,,,,,,,,,,,,,,,,,,,,,
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.55/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.55,true,0,,1,5000,10000,1000,,,0,1,10000,4934872,0.7014,0.2982,0.0,0.0004,0.003189792663476874,0.003189792663476874,451.653,100769.658191,1207,0,0.0,0.0,601.0,605.0,805.0,643.7008839463929,20036.06479248924,1207,200,401.0,601.0,603.0,802.0,805.0,0.5398526456798393,271.3897379555138,604,0,0.0,0.0,0.0,0.0,0.0,0.003992015968063872,0.003976079776574596,1,0,0.0,0.0,0.0,0.0,0.0,5399.466210436271,18139134948.44846,7920400,0,9.300000000000011,24.0,1020.0,2022.0,11118.899999999998,0.000599279548571715,0.00028748351159205886,1.0002614187587535,0.0,9.914098689716503e-07,2.1837434453033546e-06,0.00010350138375966796,0.00020465609552020218,0.0010995252870867436,3.201311662389507,0.485279146379529,6,1,2.0,3.0,3.0,4.0,4.0,0.997898676823062,4768659013.778786,3.443156288703311e+19,145008270612,644707500,904648490.0,1125273425.0,3251870958.0,5802238101.0,12983821958.749998,-9.802885854150524e+17,6.205507748999091e+36,4894716,-7310575239085056275,-7.310575239084469e+18,0.0,0.0,385394.75,1663820.0,1144128662.8211577,7.684008100332158e+18,46807418860,2975,3149526.000000003,24862754.0,127125386.0,789310727.75,7774778609.0,0.2456939600072385,0.022438803319402855,0.599486,8.9e-05,0.003948,0.12290725,0.250728,0.36291075,0.485781
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.15/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.15,true,0,,1,5000,10000,1000,,,0,1,10000,4934876,0.7248,0.2714,0.0,0.0038,0.012833168805528134,0.012833168805528134,470.4556,98393.62082864,1605,0,0.0,0.0,601.0,606.0,805.0,646.9790286975717,21557.097794200057,1605,200,401.0,601.0,603.0,802.0,805.0,5.542151162790698,2546.9488046748247,804,0,0.0,0.0,0.0,0.0,0.0,0.012693156732891833,0.014187669644118921,2,0,0.0,0.0,0.0,0.0,0.0,5910.568708609271,28462425057.832466,10113539,0,9.0,24.0,1020.0,2022.0,11060.849999999997,0.00058764519832325,0.00027818900336760814,1.000201849419344,0.0,9.913045753425369e-07,2.187863068509487e-06,0.00010332184635965418,0.000204675969269251,0.001096346884611744,3.205298013245033,0.4848946683624987,6,1,2.0,3.0,3.0,4.0,4.0,0.9913977082444102,4818251826.328498,3.6404964553575617e+19,138978588727,644707500,905163745.0,1122939125.0,3246961122.0,5827848162.75,13166057912.349998,-1.0105074819825948e+18,6.366265605550584e+36,4690189,-7310575239085056275,-7.310575239084483e+18,0.0,0.0,434229.25,1703314.299999999,1556738271.4631548,1.2363793146078302e+19,46807418860,2975,3426532.0,37634537.25,204941916.5,950145405.0,9309442119.0,0.07443076903460838,0.0026174277089455623,0.215061,7.1e-05,0.00168305,0.026547,0.0755605,0.1148525,0.15823410000000004
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.10/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.10,true,0,,1,5000,10000,1000,,,0,1,10000,4934872,0.7276,0.2658,0.0,0.0066,0.026100506427736658,0.026100506427736658,476.9784,100197.30913344002,1609,0,0.0,0.0,602.0,606.0,805.0,651.305387575591,24015.261053986673,1609,200,401.0,601.0,603.0,802.0,806.0,11.338472834067547,5690.893512498894,802,0,0.0,0.0,0.0,0.0,0.0,0.027762506871907643,0.03029026575204434,2,0,0.0,0.0,0.0,0.0,0.0,5899.295766904893,28352961857.279755,10113539,0,9.0,24.0,1020.5,2022.0,11074.049999999983,0.000586420701101655,0.00027711894410115844,1.000201849419344,0.0,9.913843757684532e-07,2.1921531430269745e-06,0.0001036583220096723,0.0002049978395162201,0.001096643133637111,3.207256734469489,0.4881056685569008,6,1,2.0,3.0,3.0,4.0,4.0,0.9850773221262764,4856188865.511479,3.771532515617529e+19,146339284004,657601650,907240725.0,1123682509.25,3254376600.0,5857203435.25,13311867262.0,-1.0331109881714159e+18,6.485317295473429e+36,4858113,-7310575239085056275,-7.310575239084511e+18,0.0,3449.0,457237.0,1721903.3999999992,1616536259.122262,1.2560986683271789e+19,45987996145,2975,3451385.0500000003,39284672.75,228913696.0,966510910.0,9393962714.0,0.051396473327222726,0.0012322223902665205,0.153211,0.00011,0.0013899,0.018489,0.052752,0.07878299999999999,0.10816579999999999
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.95/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.95,true,0,,1,5000,10000,1000,,,0,1,10000,4934872,0.669,0.3308,0.0,0.0002,0.0001999600079984003,0.0001999600079984003,431.4786,105287.37034203998,1205,0,0.0,0.0,601.0,605.0,804.0,644.9007473841555,19757.962645181327,1205,200,401.0,601.0,603.0,802.0,805.0,0.12084592145015106,24.15458055329907,200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3301.6466367713006,287424234.48440194,602157,0,10.0,24.0,1021.0,2029.0,11336.399999999996,0.00032913381394597573,2.6005551390348767e-06,0.06324146005877161,0.0,9.969823643406162e-07,2.185704617519575e-06,0.0001039003617637146,0.000210208983594733,0.0011038564327512715,3.2128550074738413,0.49041770842410304,6,1,2.0,3.0,3.0,4.0,4.0,0.9993433365072069,4715976990.8776655,3.264219246569795e+19,143367141750,644707500,904598586.0,1121417114.75,3254113656.0,5791841439.75,12774700146.749987,-9.770452712220173e+17,6.188145505244595e+36,4818181,-7310575239085056275,-7.310575239084464e+18,0.0,0.0,359668.75,1681708.849999999,785058501.0218526,4.571011563036699e+18,38831967656,2457,1385858.45,18059848.5,89406425.0,492868232.0,4469109160.150006,0.40319713064691004,0.06265081972678181,0.878503,7.8e-05,0.006411700000000001,0.19998375,0.39930449999999995,0.6026705,0.811529
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=1.00/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,1.00,true,0,,1,5000,10000,1000,,,0,1,10000,4934873,0.6538,0.3462,0.0,0.0,0.0,0.0,422.8516,107759.52277744,1206,0,0.0,0.0,601.0,604.0,804.0,646.7598654022637,20005.436676151967,1206,200,401.0,601.0,603.0,802.0,805.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3352.768430712756,296767856.0506889,609700,0,10.0,24.0,1021.0,2030.0,11612.799999999996,0.0003350187531289637,2.695780692095797e-06,0.06404706435022955,0.0,9.988566751927804e-07,2.1883684061314142e-06,0.000104137465502567,0.0002113514806543224,0.0011119923612636568,3.2220862649128175,0.49641033088812936,6,1,2.0,3.0,3.0,4.0,4.0,0.9993433365072069,4721537569.843039,3.133949920582947e+19,134547711223,651154575,907890376.5,1129943175.0,3262820490.5,5786249315.75,12981469033.0,-9.721660828080899e+17,6.161986400693773e+36,4894716,-7310575239085056275,-7.310575239084464e+18,0.0,0.0,341608.0,1687413.399999998,807234600.8221079,4.667308926551152e+18,29536864048,49,948571.0,16966157.0,91485355.0,515811312.0,4610493045.5,0.4049990861944344,0.07340777634669712,0.909067,9e-05,0.0055260000000000005,0.17216575,0.39336950000000004,0.6223365,0.8651297499999999
