simulation_id,generate_network_from_file,nodes_filename,channels_filename,edges_filename,n_additional_nodes,n_channels_per_node,capacity_per_channel,faulty_node_probability,generate_payments_from_file,payment_timeout,average_payment_forward_interval,variance_payment_forward_interval,routing_method,group_size,group_limit_rate,group_cap_update,group_broadcast_delay,payments_filename,payment_rate,n_payments,average_payment_amount,variance_payment_amount,average_max_fee_limit,variance_max_fee_limit,mpp,seed,request_amt_rate,simulation_time,success_rate,fail_no_path_rate,fail_timeout_rate,fail_no_alternative_path_rate,retry_rate,retry_no_balance_rate,time/average,time/variance,time/max,time/min,time/5-percentile,time/25-percentile,time/50-percentile,time/75-percentile,time/95-percentile,time_success/average,time_success/variance,time_success/max,time_success/min,time_success/5-percentile,time_success/25-percentile,time_success/50-percentile,time_success/75-percentile,time_success/95-percentile,time_fail/average,time_fail/variance,time_fail/max,time_fail/min,time_fail/5-percentile,time_fail/25-percentile,time_fail/50-percentile,time_fail/75-percentile,time_fail/95-percentile,retry/average,retry/variance,retry/max,retry/min,retry/5-percentile,retry/25-percentile,retry/50-percentile,retry/75-percentile,retry/95-percentile,fee/average,fee/variance,fee/max,fee/min,fee/5-percentile,fee/25-percentile,fee/50-percentile,fee/75-percentile,fee/95-percentile,fee_per_satoshi/average,fee_per_satoshi/variance,fee_per_satoshi/max,fee_per_satoshi/min,fee_per_satoshi/5-percentile,fee_per_satoshi/25-percentile,fee_per_satoshi/50-percentile,fee_per_satoshi/75-percentile,fee_per_satoshi/95-percentile,route_len/average,route_len/variance,route_len/max,route_len/min,route_len/5-percentile,route_len/25-percentile,route_len/50-percentile,route_len/75-percentile,route_len/95-percentile,group_cover_rate,total_locked_balance_duration/average,total_locked_balance_duration/variance,total_locked_balance_duration/max,total_locked_balance_duration/min,total_locked_balance_duration/5-percentile,total_locked_balance_duration/25-percentile,total_locked_balance_duration/50-percentile,total_locked_balance_duration/75-percentile,total_locked_balance_duration/95-percentile,group_survival_time/average,group_survival_time/var,group_survival_time/max,group_survival_time/min,group_survival_time/5-percentile,group_survival_time/25-percentile,group_survival_time/50-percentile,group_survival_time/75-percentile,group_survival_time/95-percentile,group_capacity/average,group_capacity/var,group_capacity/max,group_capacity/min,group_capacity/5-percentile,group_capacity/25-percentile,group_capacity/50-percentile,group_capacity/75-percentile,group_capacity/95-percentile,cul/average,cul/var,cul/max,cul/min,cul/5-percentile,cul/25-percentile,cul/50-percentile,cul/75-percentile,cul/95-percentile
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.65/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.65,true,0,,1,5000,10000,1000,,,0,5,10000,4892865,0.698,0.3012,0.0,0.0008,0.001597444089456869,0.001597444089456869,449.0408,100642.00113536,1809,0,0.0,0.0,601.0,605.0,804.0,642.8647564469914,19582.494603164178,1809,200,401.0,601.0,603.0,802.0,805.0,1.0635761589403974,479.1456269461866,601,0,0.0,0.0,0.0,0.0,0.0,0.001146131805157593,0.0011448181870427996,1,0,0.0,0.0,0.0,0.0,0.0,2931.2813753581663,63349650.36495398,109947,0,10.0,24.0,1020.0,2030.0,12200.999999999978,0.00029732069321970517,6.702733724455599e-07,0.013130749774751718,0.0,1.0181763094896085e-06,2.1721368588514257e-06,0.00010374730228562556,0.0002114799060332565,0.0011808064743296038,3.200573065902579,0.47495669165277793,5,1,2.0,3.0,3.0,4.0,4.0,0.9982598417440982,4704612180.025724,3.3578800306079904e+19,144016963384,575825300,903990880.0,1113717400.0,3265513200.0,5764697422.0,12861294616.599998,-9.769543838616943e+17,6.187658660229513e+36,4670370,-7310575239085056546,-7.310575239084533e+18,0.0,0.0,382663.0,1674133.2999999996,1095774706.9286444,7.271520357935572e+18,46561979863,6292,2980760.0,23261376.5,114547355.0,718362723.0,7149137598.3,0.28269300108538353,0.030382255521840446,0.6843,0.000117,0.004657300000000003,0.13526525,0.2870375,0.42043125000000003,0.56309215
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.85/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.85,true,0,,1,5000,10000,1000,,,0,5,10000,4892865,0.6856,0.3142,0.0,0.0002,0.00039984006397441024,0.00039984006397441024,441.9272,102753.21110016,1009,0,0.0,0.0,601.0,605.0,804.0,644.4676196032672,19347.457236224025,1009,200,401.0,601.0,603.0,802.0,805.0,0.255089058524173,102.22564204041466,401,0,0.0,0.0,0.0,0.0,0.0,0.00029171528588098014,0.0002916301880729636,1,0,0.0,0.0,0.0,0.0,0.0,2964.548424737456,66912796.413932756,111848,0,10.0,24.0,1021.0,2031.0,12309.949999999977,0.00030018741341023496,7.028457103044394e-07,0.013130749774751718,0.0,1.0161190746873074e-06,2.1753184761072973e-06,0.00010363315964128321,0.00021321838027853017,0.0011823696600789368,3.210326721120187,0.47939160853919066,5,1,2.0,3.0,3.0,4.0,4.0,0.9989821715861706,4699187470.589663,3.4318940199813247e+19,152392834809,587341806,903170673.8,1113567725.0,3270815005.5,5800414027.5,12695304649.099998,-9.741153089188424e+17,6.172442622326933e+36,4755956,-7310575239085056546,-7.310575239084529e+18,0.0,0.0,371368.75,1709796.9499999967,919395687.4848868,5.760497766122497e+18,38174015644,2457,2125074.9000000004,19303205.0,95851947.5,552569915.0,4789328623.999996,0.36309860195227767,0.048680945822243575,0.818142,0.000121,0.0065383,0.18835675000000002,0.3636205,0.53499025,0.72200425
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.05/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.05,true,0,,1,5000,10000,1000,,,0,5,10000,4892865,0.7312,0.2568,0.0,0.012,0.04525491693717777,0.04525491693717777,485.2418,102699.57693276,2210,0,0.0,0.0,602.0,800.0,805.0,654.4513129102845,28045.301240070577,2210,200,401.0,601.0,603.0,802.0,806.0,24.951636904761905,16024.473107439588,1807,0,0.0,0.0,0.0,0.0,0.0,0.045951859956236324,0.06572212459719702,5,0,0.0,0.0,0.0,0.0,0.0,2858.6225382932166,60385462.05992966,109947,0,10.0,24.0,1020.0,2028.0,11766.75,0.0002887803648736793,6.287758481465787e-07,0.013130749774751718,0.0,1.0159837919474653e-06,2.1753184761072973e-06,0.00010316504902745667,0.00020866640629493182,0.0011380101594286516,3.199124726477024,0.47566662995752906,6,1,2.0,3.0,3.0,4.0,4.0,0.970991890205864,4845713255.4940605,3.9752630594877284e+19,163402670379,575825300,905419755.0,1117984156.0,3270280211.0,5825191177.5,13458058723.649998,-1.0851668471675859e+18,6.755606796989145e+36,4786957,-7310575239085056546,-7.310575239084591e+18,0.0,29564.0,488743.0,1762805.0999999999,1706806510.782623,1.2295945979752786e+19,45284508881,5941,3313630.6,40309959.5,271044156.0,1089113546.5,9520026148.0,0.02708874707085735,0.0003078375232970088,0.080051,0.0001,0.0013066,0.011076,0.027801,0.040216,0.055690999999999984
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.50/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.50,true,0,,1,5000,10000,1000,,,0,5,10000,4892865,0.7102,0.2892,0.0,0.0006,0.0013980427401637707,0.0013980427401637707,456.7976,98824.07703424,1809,0,0.0,0.0,601.0,605.0,804.0,642.630526612222,19600.097226391226,1809,201,401.0,601.0,603.0,802.0,805.0,1.3850931677018634,943.5784113267235,804,0,0.0,0.0,0.0,0.0,0.0,0.001126443255421008,0.0011251743810133245,1,0,0.0,0.0,0.0,0.0,0.0,2944.686848774993,64465802.03823594,109947,0,10.0,24.0,1020.0,2030.0,12197.0,0.00029832651321909105,6.786246650300218e-07,0.013130749774751718,0.0,1.017388453211677e-06,2.177317464182948e-06,0.00010331880692070123,0.00021123675353035845,0.0011821759490294455,3.1993804562095183,0.475032001409085,5,1,2.0,3.0,3.0,4.0,4.0,0.9977180943625439,4730674278.194172,3.516361669549114e+19,154951806745,575825300,903302074.0,1114925100.0,3270068986.0,5787989373.0,12757110318.8,-9.744408612570277e+17,6.174188240172256e+36,4713073,-7310575239085056546,-7.310575239084531e+18,0.0,0.0,398884.5,1700744.4999999995,1174780754.2914555,7.837097897977645e+18,42199863913,6292,3256416.0000000005,26603866.0,141087333.0,834624664.0,7923790506.199977,0.2256196486877828,0.019220998494057395,0.568945,0.000106,0.0043993999999999995,0.110068,0.232569,0.333988,0.44634380000000007
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.00/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.00,true,0,,1,5000,10000,1000,,,0,5,10000,4893467,0.7338,0.1104,0.0,0.1558,0.39349830179524503,0.39349830179524503,709.0204,304277.98918384005,9234,0,0.0,403.0,603.0,803.0,1605.0,797.9498500953938,214520.2378774646,8024,201,401.0,601.0,604.0,804.0,1606.0,463.8797896318558,469807.7346103239,9234,0,0.0,0.0,401.0,603.0,1406.0,0.5153992913600436,1.5460288743630843,15,0,0.0,0.0,0.0,1.0,3.0,2828.6293267920414,59524370.26380061,109947,0,10.0,24.0,1020.0,2025.0,11689.399999999998,0.0002857434645150942,6.178751648023122e-07,0.013130749774751718,0.0,1.0148585920466914e-06,2.1725889449766865e-06,0.00010300565711864503,0.00020705792542939123,0.001118081831669007,3.1932406650313436,0.4742415831269495,6,1,2.0,3.0,3.0,4.0,4.0,0.0,5738081266.719274,8.266803345524788e+19,230569283269,575825300,927310025.0,1869147133.5,3380476519.0,6139340850.0,17540752844.349964,,,,,,,,,,,,,,,,,,,,,,,,,,,
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.55/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.55,true,0,,1,5000,10000,1000,,,0,5,10000,4892865,0.7034,0.2958,0.0,0.0008,0.001597444089456869,0.001597444089456869,452.5876,99676.80632624,1811,0,0.0,0.0,601.0,605.0,804.0,642.857264714245,19327.792535367233,1811,200,401.0,601.0,603.0,802.0,805.0,1.3546864463924477,760.9638805995937,805,0,0.0,0.0,0.0,0.0,0.0,0.0011373329542223485,0.0011360394279735888,1,0,0.0,0.0,0.0,0.0,0.0,2916.5979528006824,62160664.223913915,111848,0,10.0,24.0,1020.0,2029.0,12172.999999999985,0.0002948374341228864,6.439686214253876e-07,0.013130749774751718,0.0,1.0179744072416397e-06,2.172871744555266e-06,0.00010331880692070123,0.00021090366444291838,0.0011802435411728538,3.2007392664202445,0.4692289104086743,5,1,2.0,3.0,3.0,4.0,4.0,0.9980792592835801,4707077606.363194,3.460283094952199e+19,150631807175,581583553,901546665.0,1115461425.0,3259753546.0,5769267630.0,12625856986.25,-9.731400858322386e+17,6.167212188993929e+36,4861781,-7310575239085056546,-7.310575239084531e+18,0.0,0.0,384715.25,1699907.0,1157911050.6240227,7.785850827772203e+18,38831967656,4288,3176315.9999999995,25550126.0,132028558.0,782036466.0,7720597997.800006,0.244964827211869,0.022413535079284237,0.611082,8e-05,0.0039881000000000005,0.1205265,0.251547,0.358948,0.4862713
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.15/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.15,true,0,,1,5000,10000,1000,,,0,5,10000,4892865,0.7272,0.2682,0.0,0.0046,0.012052953961667655,0.012052953961667655,471.1308,96861.41769136,1805,0,0.0,0.0,601.0,605.0,804.0,644.8875137513751,20996.03162627182,1805,200,401.0,601.0,603.0,802.0,805.0,7.94941348973607,4077.081751855418,806,0,0.0,0.0,0.0,0.0,0.0,0.010451045104510451,0.010891875766234486,2,0,0.0,0.0,0.0,0.0,0.0,2867.23899889989,60475495.846344866,109947,0,10.0,24.0,1020.0,2028.0,11919.0,0.00028957263016647823,6.284459025934372e-07,0.013130749774751718,0.0,1.015559238303385e-06,2.1746463335482905e-06,0.00010314120746201509,0.00020894529473967558,0.0011493307648673342,3.198844884488449,0.47723738958054224,6,1,2.0,3.0,3.0,4.0,4.0,0.9913977082444102,4776794252.660124,3.732148972894138e+19,155934718540,575825300,902818075.6,1111417400.0,3259372004.0,5796834063.0,13281868980.799995,-1.0072585155662552e+18,6.349069446076831e+36,4744138,-7310575239085056546,-7.310575239084548e+18,0.0,0.0,432796.0,1717223.7500000002,1545808628.0154595,1.1920680963857148e+19,46807418860,9005,3351912.3,39202966.5,207313872.0,953779850.0,9186957460.0,0.07505601438979963,0.0025584996884983357,0.215627,0.000106,0.00164335,0.02866825,0.076661,0.11398025,0.1579837
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.10/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.10,true,0,,1,5000,10000,1000,,,0,5,10000,4892865,0.7294,0.2646,0.0,0.006,0.022291748142354323,0.022291748142354323,475.3356,97855.55057264,1806,0,0.0,0.0,601.0,606.0,805.0,647.7192212777626,22266.58198041909,1806,200,401.0,601.0,603.0,802.0,805.0,10.677014042867702,5597.841725895591,802,0,0.0,0.0,0.0,0.0,0.0,0.023032629558541268,0.024147315359770372,2,0,0.0,0.0,0.0,0.0,0.0,2853.5999451604057,57993488.54053195,108253,0,10.0,24.0,1020.0,2028.0,11926.199999999997,0.00028793042628106095,5.960902409329017e-07,0.013130749774751718,0.0,1.0153941473055238e-06,2.1752176673401762e-06,0.0001031576950292685,0.0002086740135043814,0.0011512133174684173,3.198793528927886,0.474053932417681,6,1,2.0,3.0,3.0,4.0,4.0,0.985980234428867,4792045283.765088,3.8057081466828e+19,153791352269,581583553,903929400.0,1115783400.0,3260950600.0,5802775661.0,13347484740.0,-1.031285071972845e+18,6.475738211930026e+36,4831905,-7310575239085056546,-7.310575239084559e+18,0.0,1221.0,449388.75,1723650.8,1611165585.8818786,1.209028434665988e+19,45987996145,5941,3335822.0,42437957.25,231596483.0,970106644.0,9354691507.0,0.05156072307692309,0.0012402342460782587,0.147677,0.000118,0.0013759500000000001,0.018797750000000002,0.052695500000000006,0.07927375,0.10851825000000001
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.95/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.95,true,0,,1,5000,10000,1000,,,0,5,10000,4892865,0.675,0.3248,0.0,0.0002,0.0001999600079984003,0.0001999600079984003,435.0876,104362.33912624,1409,0,0.0,0.0,601.0,604.25,804.0,644.3955555555556,19703.756128395064,1409,200,401.0,601.0,603.0,802.0,805.0,0.3710769230769231,223.62168653254443,603,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2972.6874074074076,65644111.90554512,111848,0,10.0,24.0,1021.0,2031.0,12293.599999999977,0.0003023935323908548,7.034762240624393e-07,0.013130749774751718,0.0,1.0186912769591551e-06,2.174276617290647e-06,0.00010399009695877441,0.00021428112568812105,0.001184049389393179,3.2103703703703705,0.48907764060356645,7,1,2.0,3.0,3.0,4.0,4.0,0.999523918967725,4661864307.566407,3.2142594606142947e+19,142208696343,581583553,902156403.5,1114201100.0,3277257492.0,5754272197.5,12659447718.7,-9.72501683396068e+17,6.163787202396806e+36,4723388,-7310575239085056546,-7.31057523908452e+18,0.0,0.0,353739.0,1714100.599999999,794240479.1070592,4.68343875747327e+18,38831967656,2457,1428727.0,18111186.0,91531418.0,489579752.5,4564351796.149995,0.4054110928635953,0.06301874688912813,0.881943,0.000169,0.007641099999999999,0.1977625,0.397403,0.6069884999999999,0.8175039000000001
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=1.00/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,1.00,true,0,,1,5000,10000,1000,,,0,5,10000,4892865,0.665,0.335,0.0,0.0,0.0,0.0,430.518,106410.028076,1206,0,0.0,0.0,601.0,605.0,804.0,647.3954887218046,19609.572009723557,1206,200,401.0,601.0,603.0,802.0,805.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2994.6562406015037,65204109.884536244,111848,0,10.0,24.0,1021.0,2034.0,12681.199999999997,0.0003037079488439409,6.868663557377527e-07,0.013131720149690038,0.0,1.0187915336725937e-06,2.1765487967548527e-06,0.00010437651666301194,0.00021420470135799199,0.001218580461272424,3.225263157894737,0.4867001187178473,6,1,2.0,3.0,3.0,4.0,4.0,0.9993433365072069,4665316738.62951,3.109391441875664e+19,130440379936,581583553,903914234.65,1117884286.25,3277591649.5,5767170861.0,12638251874.849997,-9.628735124971654e+17,6.112033857765165e+36,4743199,-7310575239085056546,-7.310575239084512e+18,0.0,0.0,339627.0,1728710.6,807650487.7947172,4.657129438901765e+18,29536864048,2457,947918.0000000002,17086920.5,93519330.0,510837256.0,4596857447.0,0.39837731857607517,0.07102606327381086,0.909026,0.000117,0.006547750000000002,0.17434624999999998,0.3804165,0.6141125,0.8518994499999999
